,department,number,title,time,location,instructor,card_core
453,MGMT,401,Operations Management, ,ONLINE,Cynthia Forgie,
454,MGMT,401,Operations Management, ,ONLINE,Cynthia Forgie,
455,MKT,301,Principles of Marketing, ,ONLINE,David Faulds,
456,MKT,301,Principles of Marketing, ,ONLINE,David Faulds,
457,MKT,380,Services Marketing, ,ONLINE,David Faulds,
458,MKT,395,Digital Marketing Strategy, ,ONLINE,Jeffrey Koleba,
459,MKT,396,Zero-Credit Internship-Marketing, ,Belknap,P.S. Raju,
460,MKT,397,Co-op in Marketing I, ,Belknap,P.S. Raju,
461,MKT,398,Co-op in Marketing II, ,Belknap,P.S. Raju,
462,MKT,399,Co-op in Marketing III, ,Belknap,P.S. Raju,
463,MKT,460,Integrative Marketing Strategy, ,ONLINE,Henrietta Pepper,CUE
464,MATH,105,Quantitative Reasoning, ,ONLINE,Ryan Luke,QR
465,MATH,111,College Algebra, ,ONLINE,Matt Scobee,QR
466,MATH,111,College Algebra, ,ONLINE,Ziyad Hamad,QR
467,MATH,180,Elements of Calculus, ,ONLINE,Junghwa Kim,QR
468,MATH,190,Precalculus,MoTuWeThFr 9:30AM - 11:40AM,Belknap / Natural Sc 212C,Sarah Hadaidi,QR
469,MATH,205,Calculus I,MoTuWeThFr 9:30AM - 11:40AM,Belknap / Natural Sc 108,Ziyad Hamad,QR
470,MATH,205,Calculus I,MoTuWeThFr 9:30AM - 11:40AM,Belknap / Natural Sc 128,Junghwa Kim,QR
471,MATH,206,Calculus II,MoTuWeThFr 9:30AM - 11:40AM,Belknap / Natural Sc 128,Ryan Gill,
472,MATH,301,Calculus III,MoTuWeThFr 9:30AM - 11:40AM,Belknap / Natural Sc 110,David Swanson,
473,ME,206,Mechanics II: Dynamics,MoWeFr 8:00AM - 9:15AM,Belknap / Sackett 100,Hari Charan Ghimire,
474,ME,251,Thermodynamics I,MoWeFr 9:30AM - 10:45AM,Belknap / Sackett 103,Hari Charan Ghimire,
475,ME,288,Mechanical Engineering Cooperative Education Seminar,Tu 1:00PM - 2:15PM,Belknap / Duthie Center Engineering 117,"Kelly Atwood Holt, Brittney Forrest, Thomas Brammer, Alexander Williams",
476,ME,289,Mechanical Engineering Cooperative Education I, ,INTERN,"Kelly Atwood Holt, Brittney Forrest, Thomas Brammer, Alexander Williams",
477,ME,310,Thermodynamics II,TuTh 8:00AM - 9:50AM,Belknap / J B Speed 100,Nicholas Schuppert,
478,ME,323,Mechanics of Materials,MoWe 1:00PM - 2:50PM,Belknap / Sackett 100,Roger Bradshaw,
479,ME,324,Mechanics of Materials Laboratory,Tu 1:00PM - 2:50PM,Belknap / Sackett 108,Md Jahidur Rahman,
480,ME,324,Mechanics of Materials Laboratory,Th 1:00PM - 2:50PM,Belknap / Sackett 108,Md Jahidur Rahman,
481,ME,324,Mechanics of Materials Laboratory,Fr 11:00AM - 12:50PM,Belknap / Sackett 108,Md Jahidur Rahman,
482,ME,324,Mechanics of Materials Laboratory,Fr 1:00PM - 2:50PM,Belknap / Sackett 108,Md Jahidur Rahman,
483,ME,324,Mechanics of Materials Laboratory,We 11:00AM - 12:50PM,Belknap / Sackett 108,Md Jahidur Rahman,
484,ME,389,Mechanical Engineering Cooperative Education II, ,INTERN,"Kelly Atwood Holt, Brittney Forrest, Thomas Brammer, Alexander Williams",
485,ME,435,System Dynamics,TuTh 10:00AM - 11:50AM,Belknap / Sackett 100,Arinan Dourado,
486,ME,489,Mechanical Engineering Cooperative Education III, ,INTERN,"Kelly Atwood Holt, Brittney Forrest, Thomas Brammer, Alexander Williams",
487,ME,526,Vehicle Dynamics and Handling,TBA,Belknap / TBA,To be Announced,
488,ME,526,Vehicle Dynamics and Handling, ,ONLINE,Gary Osborne,
489,ME,547,Design Methods, ,ONLINE,Rodney Ewing,
490,ME,549,Geometric Dimensioning and Tolerancing,TuTh 12:00PM - 1:50PM,Belknap / Sackett 100,Andrew Pierce,
491,MBEC,100,METRO-BELLARMINE UNIVERSITY, ,Oth Loc,To be Announced,
492,MILS,410,Independent Study in Military Science and Leadership, ,ONLINE,- TBA,
493,MILS,410,Independent Study in Military Science and Leadership, ,ONLINE,- TBA,
494,MILS,410,Independent Study in Military Science and Leadership, ,ONLINE,- TBA,
495,MUH,204,Introduction to Music History, ,ONLINE,Jennifer Potochnic,AH
496,MUH,205,Music in World Cultures,TBA,ONLINE / TBA,To be Announced,SBD2
497,MUH,212,History of Rock and Roll, ,ONLINE,Daniel Worley,AHP1
498,MUH,214,African-American Music, ,ONLINE,Marlin McKay,AHP1
499,MUH,215,Hip-Hop Music and History, ,ONLINE,Allison Ogden,AHP1
500,MUH,217,History of Country Music, ,ONLINE,Sean Mulhall,AHP1
501,MUH,317,Popular Music in American Culture, ,ONLINE,Allison Ogden,AHP1
502,MUTH,451,Music Therapy Internship, ,Belknap,Lorna Segall,CUE
503,NURS,205,United States Healthcare System History and Inequality, ,ONLINE,"Cynethia Bethel-Hines, Mary Marlatt","SBH, D1"
504,NURS,221,Principles of Basic Patient Care, ,HSC / Online,Christina Meek,
505,NURS,221,Principles of Basic Patient Care,We 4:00PM - 7:00PM,HSC,Christina Meek,
506,NURS,221,Principles of Basic Patient Care, ,Owensboro / Online,Christina Meek,
507,NURS,221,Principles of Basic Patient Care,Mo 9:00AM - 12:00PM,Owensboro / OWENSBORO,Haley Geary,
508,NURS,310,Strategies for Nursing Student Success,TBA,ONLINE / TBA,To be Announced,
509,NURS,310,Strategies for Nursing Student Success,TBA,ONLINE / TBA,To be Announced,
510,NURS,314,Population Health Nursing, ,HSC / Online,"Angela Mehringer, Rebecca Gesler, Angela Mehringer",
511,NURS,314,Population Health Nursing,Tu 6:00AM - 9:00PM,HSC,Kristin Baisch,
512,NURS,314,Population Health Nursing,Tu 6:00AM - 9:00PM,HSC,Nancy Kern,
513,NURS,314,Population Health Nursing,Tu 6:00AM - 9:00PM,HSC,Jennifer Howell,
514,NURS,314,Population Health Nursing,Tu 6:00AM - 9:00PM,HSC,Becky Houston,
515,NURS,314,Population Health Nursing,We 6:00AM - 9:00PM,HSC,Beverly Williams Coleman,
516,NURS,314,Population Health Nursing,We 6:00AM - 9:00PM,HSC,Nancy Kern,
517,NURS,314,Population Health Nursing,TBA,HSC / TBA,To be Announced,
518,NURS,314,Population Health Nursing,TBA,HSC / TBA,To be Announced,
519,NURS,314,Population Health Nursing,We 6:00AM - 9:00PM,HSC,Jennifer Howell,
520,NURS,314,Population Health Nursing, ,Owensboro / Online,"Angela Mehringer, Rebecca Gesler",
521,NURS,314,Population Health Nursing,We 8:00AM - 4:00PM,Owensboro / OWENSBORO,Angela Mehringer,
522,NURS,314,Population Health Nursing,We 8:00AM - 4:00PM,Owensboro / OWENSBORO,Haley Geary,
523,NURS,315,Foundations for Professional Nursing Practice, ,HSC / Online,"Courtney Albers, Kristin Baisch, Courtney Albers",
524,NURS,315,Foundations for Professional Nursing Practice,We 8:00AM - 12:00PM,HSC,"Courtney Albers, Ashley Stadelman",
525,NURS,315,Foundations for Professional Nursing Practice,Tu 8:00AM - 12:00PM,HSC,"Ashley Stadelman, Krystal Cox",
526,NURS,315,Foundations for Professional Nursing Practice,Th 8:00AM - 12:00PM,HSC,"Beverly Williams Coleman, Kristin Baisch",
527,NURS,315,Foundations for Professional Nursing Practice, ,Owensboro / Online,"Courtney Albers, Courtney Albers, Kristin Baisch",
528,NURS,315,Foundations for Professional Nursing Practice,Tu 8:00AM - 12:00PM,Owensboro / OWENSBORO,Cristin Whitaker,
529,NURS,316,Health Assessment, ,HSC / Online,"Bailey Stiff, Christina Meek, Bailey Stiff",
530,NURS,316,Health Assessment,We 12:30PM - 2:30PM,HSC,"Christina Meek, Ashley Stadelman",
531,NURS,316,Health Assessment,Tu 12:30PM - 2:30PM,HSC,"Ashley Stadelman, Krystal Cox",
532,NURS,316,Health Assessment,Th 12:30PM - 2:30PM,HSC,"Beverly Williams Coleman, Kristin Baisch",
533,NURS,316,Health Assessment, ,Owensboro / Online,"Bailey Stiff, Bailey Stiff, Christina Meek",
534,NURS,316,Health Assessment,Tu 1:00PM - 3:00PM,Owensboro / OWENSBORO,Bailey Stiff,
535,NURS,317,Wellness Across the Lifespan, ,HSC / Online,Amy Higdon,
536,NURS,317,Wellness Across the Lifespan, ,Owensboro / Online,Amy Higdon,
537,NURS,330,Special Topics, ,HSC,"Melissa Barnes, Rebecca Gesler",
538,NURS,355,Portfolio Equivalency, ,ONLINE,Leah Ashby,
539,NURS,381,Foundations for Evidenced-Based Professional Nursing, ,ONLINE,Diane Riff,
540,NURS,382,Nursing Research for Evidence-Based Practice, ,ONLINE,Kellie Edens,
541,NURS,382,Nursing Research for Evidence-Based Practice, ,ONLINE,Diane Riff,
542,NURS,383,Case Management of Individuals and Families, ,ONLINE,Leah Ashby,
543,NURS,385,Nursing Leadership and Health Policy, ,ONLINE,Tammy Allen,
544,NURS,387,Pathophysiology and Pharmacotherapeutics for RNs, ,ONLINE,Eileen Grigutis,
545,NURS,388,Global Health: Disparities and Social Determinants, ,ONLINE,Jessica Eckhoff,SBDP2
546,NURS,430,NCLEX-RN Preparation and Strategies, ,ONLINE,"Rebecca Gesler, Sarah Moreno, Rebecca Gesler",
547,NURS,430,NCLEX-RN Preparation and Strategies, ,ONLINE,"Rebecca Gesler, Sarah Moreno, Rebecca Gesler",
548,NURS,445,Complex Health Nursing, ,HSC / Online,Haley Humphrey,
549,NURS,445,Complex Health Nursing,Mo 6:00AM - 9:00PM,HSC,Christina Meek,
550,NURS,445,Complex Health Nursing,Mo 6:00AM - 9:00PM,HSC,Sarah Moreno,
551,NURS,445,Complex Health Nursing,Mo 6:00AM - 9:00PM,HSC,Robert Wheat,
552,NURS,445,Complex Health Nursing,Mo 6:00AM - 9:00PM,HSC,James Key,
553,NURS,445,Complex Health Nursing,Th 6:00AM - 9:00PM,HSC,Christina Meek,
554,NURS,445,Complex Health Nursing,Th 6:00AM - 9:00PM,HSC,Sarah Moreno,
555,NURS,445,Complex Health Nursing,Th 6:00AM - 9:00PM,HSC,Robert Wheat,
556,NURS,445,Complex Health Nursing, ,Owensboro / Online,Haley Humphrey,
557,NURS,445,Complex Health Nursing,Mo 6:00AM - 9:00PM,Owensboro / OWENSBORO,Amber Thomas,
558,NURS,446,Role Transition, ,HSC / Online,"Melissa Barnes, Rebecca Gesler",
559,NURS,446,Role Transition, ,HSC,"Jennifer Howell, Kennetha Williams, Nancy Kern, Rebecca Gesler, Krista Roach, Melissa Barnes",
560,NURS,446,Role Transition, ,Owensboro / Online,"Melissa Barnes, Rebecca Gesler",
561,NURS,446,Role Transition, ,Owensboro / OWENSBORO,Amy Wimsatt,
562,NURS,482,"Health Promotion for Individuals, Families, and Communities", ,ONLINE,Tammy Allen,
563,NURS,488,Leadership Project, ,ONLINE,"Kellie Edens, Nancy Kern, Kellie Edens, Jessica Eckhoff",
564,PAS,301,Social Sciences Special Topics in Pan-African Studies,TBA,ONLINE / TBA,To be Announced,
565,PAS,364,Racism and Sexism, ,ONLINE,Elizabeth Jones,SBD1
566,PAS,368,"Race, Culture, Identity", ,ONLINE,Yvonne Jones,
567,PAS,383,Cultures of Africa, ,ONLINE,Amanuel Beyin,SBD2
568,PAS,390,Independent Study, ,Belknap,- TBA,
569,PEAC,350,Mediation & Conflict Transformation,Tu 5:30PM - 8:15PM,Belknap / Belknap Academic Building 413,Aaron Rollins,
570,PHIL,211,Critical Thinking, ,ONLINE,John Gibson,AH
571,PHIL,211,Critical Thinking, ,ONLINE,Brian Barnes,AH
572,PHIL,219,"Philosophy of Love, Sex, and Sexuality", ,ONLINE,Eve Carlisle Polley,AHP1
573,PHIL,222,Contemporary Moral Problems, ,ONLINE,Ryan Froese,AH
574,PHIL,222,Contemporary Moral Problems, ,ONLINE,Andreas Elpidorou,AH
575,PHIL,318,Feminist Philosophy, ,ONLINE,Lauren Freeman,AHP1
576,PHIL,323,Medical Ethics, ,ONLINE,boomer Trujillo,
577,PHIL,401,Philosophy Internship, ,INTERN,John Gibson,
578,PHIL,499,Senior Honors Thesis, ,Belknap,- TBA,WR
579,PHYS,221,Fundamentals of Physics I,MoTuWeThFr 9:00AM - 10:30AM,Belknap / Natural Sc 110,Matthew Nichols,S
580,PHYS,222,Fundamentals of Physics II,MoTuWeThFr 9:00AM - 10:30AM,Belknap / Natural Sc 108,Matthew Nichols,S
581,PHYS,223,Fundamentals of Physics Lab I,MoWe 10:40AM - 12:30PM,Belknap / Belknap Academic Building 426,"Matthew Nichols, Bharat Sunar",SL
582,PHYS,223,Fundamentals of Physics Lab I,TuTh 10:40AM - 12:30PM,Belknap / Belknap Academic Building 426,"Matthew Nichols, Nitesh Karki",SL
583,PHYS,224,Fundamentals of Physics Laboratory II,MoWe 10:40AM - 12:30PM,Belknap / Belknap Academic Building 422,"Matthew Nichols, Shikha Pandey",SL
584,PHYS,224,Fundamentals of Physics Laboratory II,TuTh 10:40AM - 12:30PM,Belknap / Belknap Academic Building 422,"Matthew Nichols, Rishiram Ranabhat",SL
585,PHYS,295,Introductory Laboratories I,Tu 1:00PM - 2:50PM,Belknap / Natural Sc 302,"Matthew Nichols, Hudson Harner",SL
586,PHYS,295,Introductory Laboratories I,We 2:30PM - 4:20PM,Belknap / Natural Sc 302,"Matthew Nichols, Hansaka Weerarathne",SL
587,PHYS,295,Introductory Laboratories I,We 11:00AM - 12:50PM,Belknap / Natural Sc 302,"Matthew Nichols, S M Rafee Adnan",SL
588,PHYS,295,Introductory Laboratories I,Tu 11:00AM - 12:50PM,Belknap / Natural Sc 302,"Matthew Nichols, Naveen Baghel",SL
589,PHYS,295,Introductory Laboratories I,Th 11:00AM - 12:50PM,Belknap / Natural Sc 302,"Matthew Nichols, Nate Sparrow",SL
590,PHYS,296,Introductory Laboratories II,Tu 1:00PM - 2:50PM,Belknap / Natural Sc 314,"Gamini Sumanasekera, Bimal Nepal",SL
591,PHYS,296,Introductory Laboratories II,We 2:30PM - 4:20PM,Belknap / Natural Sc 314,"Gamini Sumanasekera, Jacob Hannah",SL
592,PHYS,296,Introductory Laboratories II,TBA,Belknap / TBA,To be Announced,SL
593,PHYS,296,Introductory Laboratories II,Tu 11:00AM - 12:50PM,Belknap / Natural Sc 314,"Gamini Sumanasekera, Bimal Nepal",SL
594,PHYS,296,Introductory Laboratories II,TBA,Belknap / TBA,To be Announced,SL
595,PHYS,296,Introductory Laboratories II,Th 11:00AM - 12:50PM,Belknap / Natural Sc 314,"Gamini Sumanasekera, Jacob Hannah",SL
596,PHYS,298,"Introductory Mechanics, Heat and Sound",MoWeThFr 1:00PM - 2:15PM,Belknap / Belknap Academic Building 226,Swagato Banerjee,S
597,PHYS,299,"Introductory Electricity, Magnetism and Light",MoWeThFr 11:00AM - 12:15PM,Belknap / Natural Sc 112,Scott Jensen,
598,PHYS,299,"Introductory Electricity, Magnetism and Light",MoWeThFr 1:00PM - 2:15PM,Belknap / Natural Sc 112,Chad Howard,
599,POLS,111,Political Discourse, ,ONLINE,Dewey Clayton,OC
600,POLS,201,Introduction to American Government and Politics, ,ONLINE,Siddhant Issar,SB
601,POLS,312,Constitutional Law, ,ONLINE,Allison Martens,Powers of Government
602,POLS,313,Constitutional Law,TBA,ONLINE / TBA,To be Announced,Rights and Liberties
603,POLS,324,Women in American Politics, ,ONLINE,Anne Caldwell,
604,POLS,326,Public Policy,TBA,ONLINE / TBA,To be Announced,SB
605,POLS,330,Introduction to International Relations, ,ONLINE,Kristopher Grady,
606,POLS,348,Environmental Policy, ,ONLINE,Melissa Merry,
607,PSYC,201,Introduction to Psychology, ,ONLINE,George Martinez,SB
608,PSYC,201,Introduction to Psychology, ,ONLINE,George Martinez,SB
609,PSYC,301,Statistics for Psychology, ,ONLINE,Freya Edlin,
610,PSYC,301,Statistics for Psychology, ,ONLINE,Freya Edlin,
611,PSYC,302,Research Methods for Psychology, ,ONLINE,Lora Haynes,
612,PSYC,302,Research Methods for Psychology, ,ONLINE,Lora Haynes,
613,PSYC,302,Research Methods for Psychology, ,ONLINE,Ryan Coleman,
614,PSYC,305,Brain and Behavior, ,ONLINE,Brendan Depue,
615,PSYC,305,Brain and Behavior, ,ONLINE,Andrew Lynn,
616,PSYC,305,Brain and Behavior, ,ONLINE,Brendan Depue,
617,PSYC,305,Brain and Behavior,TBA,ONLINE / TBA,To be Announced,
618,PSYC,306,Life Span Developmental Psychology, ,ONLINE,Lora Haynes,
619,PSYC,307,Cognitive Processes, ,ONLINE,Lora Haynes,
620,PSYC,308,Foundations of Psychopathology, ,ONLINE,Brooke Shriner,
621,PSYC,310,Psychology of Diversity, ,ONLINE,George Martinez,
622,PSYC,315,Personality, ,ONLINE,Brooke Shriner,
623,PSYC,318,Forensic Psychology, ,ONLINE,George Martinez,
624,PSYC,342,Drugs and Behavior, ,ONLINE,George Martinez,
625,PSYC,388,Principles of  Clinical Psychology, ,ONLINE,Brooke Shriner,
626,PSYC,420,History of Psychology: A Socio-Cultural Perspective, ,ONLINE,Edna Ross,"WR,CUE"
627,PSYC,491,Undergraduate Psychology Research, ,Belknap,Judith Danovitch,
628,PSYC,493,Undergraduate Psychology Research II, ,Belknap,Judith Danovitch,
629,PHPB,301,Health Equity, ,ONLINE,"Madeline Tomlinson, Lyndsey Blair",SBP1
630,PHEH,101,Nutrition 4 You, ,ONLINE,Rachel Neal,S
631,PHEP,301,Global Public Health, ,ONLINE,Madeline Tomlinson,SBHD2
632,PHPH,101,Introduction to Public Health, ,ONLINE,Subi Gandhi,SB
633,PHST,200,Reasoning with Data in Daily Life, ,ONLINE,Brendan Wilson,QR
634,SCHG,300,Topics in Social Change: Humanities, ,ONLINE,Lauren Freeman,
635,SCHG,302,Topics in Social Change: Social Sciences, ,ONLINE,Yvonne Jones,
636,SCHG,401,Social Change Community Internship, ,INTERN,Cherie Dawson-Edwards,
637,BSW,201,Introduction to Social Work, ,ONLINE,Alicia Dawson,SBD1
638,BSW,203,Human Biology for Social Sciences, ,ONLINE,Tara Schapmire,
639,BSW,204,Introduction to Social Statistics, ,ONLINE,Daniel Jude,
640,BSW,333,Intro Social Work and Human Sexuality, ,ONLINE,Kelly Weaver,
641,BSW,397,Intro Special Topics in Social Work, ,ONLINE,Lesley Harris,
642,BSW,397,Intro Special Topics in Social Work, ,ONLINE,Susan Heffner Rhema,
643,BSW,415,Intro Mental Health, ,ONLINE,Tina Johnson,
644,SOC,201,Introduction to Sociology, ,ONLINE,Robert Carini,SB
645,SOC,202,Social Problems, ,ONLINE,Angela Orend,SBD1
646,SOC,301,Introduction to Social Statistics, ,ONLINE,Robert Carini,
647,SOC,303,Introduction to Research Methods,TBA,ONLINE / TBA,To be Announced,WR
648,SOC,303,Introduction to Research Methods,TBA,ONLINE / TBA,To be Announced,WR
649,SOC,320,Social Theory, ,ONLINE,Gul Aldikacti Marshall,WR
650,SOC,323,Diversity and Inequality, ,ONLINE,James Beggan,
651,SOC,327,Sociology of Gender, ,ONLINE,Gul Aldikacti Marshall,
652,SOC,343,Sociology of Women's Health, ,ONLINE,Debbie Potter,
653,SOC,417,Reproductive Justice, ,ONLINE,Lucie Brooks,
654,SOC,451,Special Topics in Sociology, ,ONLINE,Jonetta Weber,WR; CUE
655,SPAN,121,Spanish Language and Culture I, ,ONLINE,Christina Smith,
656,SPAN,121,Spanish Language and Culture I, ,ONLINE,Samia Mathew,
657,SPAN,121,Spanish Language and Culture I, ,ONLINE,Marc Tamarit-Galdon,
658,SPAN,122,Spanish Language and Culture II, ,ONLINE,Sue Trejo,
659,SPAN,122,Spanish Language and Culture II, ,ONLINE,Carlos Felico-Garrido,
660,SPAN,122,Spanish Language and Culture II, ,ONLINE,Karla Wilder,
661,SPAN,123,Spanish Language and Culture in Review, ,ONLINE,Karly Walker,
662,SPAN,123,Spanish Language and Culture in Review, ,ONLINE,Thomas Lawrence,
663,SPAN,123,Spanish Language and Culture in Review, ,ONLINE,Sarah Neal,
664,SPAN,141,Intensive Spanish Language and Culture I, ,ONLINE,Samia Mathew,
665,SPAD,281,Principles of Sport Administration, ,ONLINE,James Byland,
666,SPAD,284,Sport Leadership and Ethics, ,ONLINE,Marcis Fennell,
667,SPAD,345,Sport Communication, ,ONLINE,Timothy Wolz,
668,SPAD,353,Sport and Film, ,ONLINE,T. Greenwell,
669,SPAD,383,Sport Marketing, ,ONLINE,T. Greenwell,
670,SPAD,395,Sport Sales and Fundraising, ,ONLINE,Megan Shreffler,
671,SPAD,401,Career Development in Sport Administration, ,ONLINE,Regina Presley,
672,SPAD,402,Internship in Sport Administration, ,ONLINE,"Regina Presley, James Breeding",CUE
673,SPAD,402,Internship in Sport Administration, ,ONLINE,"Regina Presley, James Breeding",CUE
674,SPAD,480,Athletics in Higher Education, ,ONLINE,Meg Hancock,
675,SPAD,484,Strategic Management in Sport, ,ONLINE,Brigitte Burpo,
676,SPAD,561,Special Topics in Sport Administration,TBA,ONLINE / TBA,To be Announced,
677,SPAD,561,Special Topics in Sport Administration, ,ONLINE,James Byland,
678,TA,207,Enjoyment of Theatre, ,ONLINE,Melony Caulder,AH
679,TA,224,Introduction to Acting as Communication, ,ONLINE,LaShondra Hood,OC
680,TA,224,Introduction to Acting as Communication,TBA,ONLINE / TBA,To be Announced,OC
681,TA,243,Design Aesthetics, ,ONLINE,Kevin Gawley,AH
682,TA,326,Cultural Diversity in Performance,TBA,Belknap / TBA,To be Announced,AHP1
683,TA,357,Introduction to Hip-Hop Theatre,TBA,ONLINE / TBA,To be Announced,WRAHP1
684,TA,357,Introduction to Hip-Hop Theatre, ,ONLINE,Brandi Threatt,WRAHP1
685,URBS,331,Sustainable Built Environment,TBA,ONLINE / TBA,To be Announced,SBD1
686,URBS,440,Sustainability Internship, ,Oth Loc,Matthew Ruther,CUE
687,WGST,203,Gender Issues in Public Dialogue,TBA,ONLINE / TBA,To be Announced,OCP1
688,WGST,303,Humanities and Gender, ,ONLINE,Simona Bertacco,AHP2
689,WGST,303,Humanities and Gender, ,ONLINE,Eve Carlisle Polley,AHP2
690,WGST,312,Sociology of Women's Health, ,ONLINE,Debbie Potter,
691,WGST,313,Sociology of Gender, ,ONLINE,Gul Aldikacti Marshall,
692,WGST,332,History of Childhood in America, ,ONLINE,Tami Harbolt,WRSBHP1
693,WGST,360,Feminist Philosophy, ,ONLINE,Lauren Freeman,AHD1
694,WGST,417,Reproductive Justice, ,ONLINE,Lucie Brooks,
